class	date	contents	state	link
International	2024	Hyeon Seok Seok, Shinae Yu, Kyung-Hwa Shin, Woochang Lee, Sollip Kim, Hangsik Shin, “AI-based Approach for Detecting Sample Misidentification Errors in Alpha-fetoprotein with Multi-Center Validation.” Cherry Blossom Symposium 2024 (CBS 2024) The 13th International Conference of Clinical Laboratory Automation, The-K Hotel, South Korea, 21 Mar 2024. 	complete
International	2023	Hyeon Seok Seok, Yuna Choi, Sollip Kim, Hangsik Shin, “Deep Learning-Based Sample Mix-Up Error Detection in Clinical Chemistry Test.” IEEE EMBS International Conference on Data Science and Engineering in Healthcare, Medicine & Biology, Malta, 07-09 Dec 2023. 	complete	
International	2023	Ga Yeon Ryu, Hyeon Seok Seok, Hangsik Shin, Byung-Moon Choi and Jae Moon Choi, “Ectopic Beat Correction Strategies for Accurate Heart Rate Variability Analysis.” IEEE EMBS International Conference on Data Science and Engineering in Healthcare, Medicine & Biology, Malta, 07-09 Dec 2023. 	complete	
International	2023	Changwon Wang, Hamin Lim, Sung Woo Joo, Jungsun Lee, Hangsik Shin, “Investigating Abnormal Behavior Patterns in Psychiatric Inpatients.” IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI’23), Pittsburgh, USA, 10-18 Sep 2023. 	complete	
International	2023	Yuna Choi, Hyeon Seok Seok, Hangsik Shin, Seunghoo Lee, Joonsang Yu, Sollip Kim, Woochang Lee, Sail Chun, “Application of machine learning for developing delta check method for five tumor markers.” LMCE 2023, Suwon Convention Center, South Korea, 18-20 Sep 2023. 	complete	
International	2023	Hyeon Seok Seok, Ga Yeon Ryu, Hangsik Shin, Byung-Moon Choi and Jae Moon Choi, “Arrival Times of Maximum Pain and Pain Suppression After Acute Pain Stimulation in Surgical Procedure.” IEEE EMBC, Sydney, Australia, 24-28 July 2023. 	complete	
International	2023	Jaehyung Lee, Oh-Seok Kwon, Ye Eun Choi, Hangsik Shin, Hui-Nam Pak, “Atrial Fibrillation Diagnosis Using Machine Learning: Leveraging Minimal Health Data from UK Biobank.” IEEE EMBS International Conference on Data Science and Engineering in Healthcare, Medicine & Biology, Malta, 07-09 Dec 2023. 	complete	
International	2021	Junyung Park and Hangsik Shin, “Feasibility Study for Local Pulse Transit Time as an Alternative of Pulse Arrival Time.” The 22nd International Symposium on Advanced Intelligent Systems(ISIS 2021), Chungbuk National University, Cheongju, Republic of Korea, 15-18 Dec 2021. 	complete	
International	2019	Ji Yeon Yim and Hangsik Shin, “Postoperative Pain Assesment Model based on Photoplethysmogram and Convolutional Neural Network.” ISIS 2019-ICBAKE 2019 Joint Conference,Jeju ICC, Jeju Island, Republic of Korea, Dec 4-7 2019. 	complete	
International	2019	Hangsik Shin, Junyung Part, Hyeon Seok Seok and Younghyeon Yun, “Postoperative Pain Assessment Using Convolutional Neural Network.” 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society(EMBC'19), Berlin, Germany, 23-27 Jul 2019. 	complete	
