class	date	contents	state	link
International	2024-10	Method and apparatus for training waveform restroration model to restore quasiperiodic biosignal waveforms, Filed (No: PCT/KR2024/015157, Date: 2024/10/07). 	complete	
International	2022-04	Method and apparatus for measuring bio signal, Filed (No: EP14864547.6, Date: 2014/03/11), Published (No: EP03075310, Date: 2016/10/05), Granted (No: EP03075310, Date: 2022/04/27). 	complete	
International	2022-08	A method and apparatus for pain assessment based on a photoplethysmographic based spectrogram and convolutional neural network, Filed (No: PCT/KR2021/002696, Date: 2021/03/04), Published (No: PCT2022169020, Date: 2022/08/11). 	complete	
International	2021-06	Electronic apparatus and method of outputting content by the electronic apparatus, Filed (No: US16730078, Date: 2019/12/30), Granted (No: US11051147, Date: 2021/06/29). 	complete	
International	2021-03	Method of executing application and terminal using the method, Filed (No: US14021346, Date: 2013/09/09), Published (No: US20140080469, Date: 2014/03/20), Granted (No: US10939281, Date: 2021/03/02). 	complete	
International	2021-07	Method of managing external devices, method of operating external device, host device, management server, and external device, Filed (No: US16654266, Date: 2019/10/16), Granted (No: US11056234, Date: 2021/07/06). 	complete	
International	2021-09	Method of managing external devices, method of operating external device, host device, management server, and external device, Filed (No: US17342860, Date: 2021/06/09), Published (No: US20210295993, Date: 2021/09/23). 	complete	
International	2021-03	A waistband wearable electrocardiogram measuring apparatus and method and apparatus for heart rate measurement using the same, Filed (No: PCT/KR2021/002702, Date: 2021/03/04). 	complete	
International	2021-02	Wearable blood pressure measuring device with multi-array pressure sensors, Filed (No: PCT/KR2021/001864, Date: 2021/02/15). 	complete	
International	2021-02	Portable wearable respiratory monitoring unit and mask comprising the same, Filed (No: PCT/KR2021/001632, Date: 2021/02/08). 	complete	
International	2020-09	A method and apparatus for estimating mean arterial pressure based on pressure and pulse wave, Filed (No: PCT/ KR2020/012934, Date: 2020/09/24). 	complete	
